Compound,Date,Negative,Neutral,Positive,Tweet Count,Tweet text,User
0.0,Fri Apr 06 11:13:59 +0000 2018,0.0,1.0,0.0,0,RT @SPCIQ: #incendie 3330 Monnerie sous contrôle .Bâtiment résidentiel 16 logements . Plusieurs personnes prises en charge par la Croix Rou…,@RTC
0.0,Fri Apr 06 07:39:31 +0000 2018,0.0,1.0,0.0,1,#incendie 3330 Monnerie sous contrôle .Bâtiment résidentiel 16 logements . Plusieurs personnes prises en charge par… https://t.co/QDmsK0cn6p,@RTC
0.494,Thu Apr 05 18:32:22 +0000 2018,0.0,0.849,0.151,2,RT @maxgeorge100: Oh the joys of looking at twitter on a packed commuter train 😉😈😍😍 @empresswishes @DommeLinx @DirkHooper @RT4D1 @SelenaSec…,@RTC
0.494,Thu Apr 05 18:18:44 +0000 2018,0.0,0.849,0.151,3,RT @maxgeorge100: Oh the joys of looking at twitter on a packed commuter train 😉😈😍😍 @empresswishes @DommeLinx @DirkHooper @RT4D1 @SelenaSec…,@RTC
0.494,Thu Apr 05 18:16:52 +0000 2018,0.0,0.833,0.167,4,Oh the joys of looking at twitter on a packed commuter train 😉😈😍😍 @empresswishes @DommeLinx @DirkHooper @RT4D1… https://t.co/oyyMRxrbQS,@RTC
0.0,Wed Apr 04 16:08:54 +0000 2018,0.0,1.0,0.0,5,@rtc #canadiansinlondon https://t.co/OCKpLvWNVf,@RTC
0.0,Wed Apr 11 23:40:30 +0000 2018,0.0,1.0,0.0,0,@BrentToderian @TransLink @grescoe @FreeRangeKids @5kids1condo @theoverheadwire @MassTransitmag @APTA_Transit We br… https://t.co/CHm0cwsPGy,@APTA_Transit
0.772,Wed Apr 11 21:48:32 +0000 2018,0.0,0.688,0.312,1,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,@APTA_Transit
0.772,Wed Apr 11 21:26:56 +0000 2018,0.0,0.688,0.312,2,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,@APTA_Transit
0.855,Wed Apr 11 21:26:32 +0000 2018,0.0,0.561,0.439,3,RT @APTA_Transit: Congratulations to @RideKCTransit on their newly awarded grant for Bus Rapid Transit! https://t.co/BVuWJFGAMv,@APTA_Transit
0.772,Wed Apr 11 20:26:51 +0000 2018,0.0,0.688,0.312,4,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,@APTA_Transit
0.772,Wed Apr 11 20:17:27 +0000 2018,0.0,0.688,0.312,5,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,@APTA_Transit
0.0,Wed Apr 11 20:11:49 +0000 2018,0.0,1.0,0.0,6,@BrentToderian @TransLink @grescoe @FreeRangeKids @5kids1condo @theoverheadwire @MassTransitmag @APTA_Transit You c… https://t.co/uJM86r5zHQ,@APTA_Transit
0.0,Wed Apr 11 19:37:18 +0000 2018,0.0,1.0,0.0,7,@BrentToderian @TransLink @grescoe @FreeRangeKids @5kids1condo @theoverheadwire @MassTransitmag @APTA_Transit Congr… https://t.co/vDd3Yp5vE1,@APTA_Transit
0.0,Wed Apr 11 16:16:10 +0000 2018,0.0,1.0,0.0,8,@BrentToderian @TransLink @grescoe @FreeRangeKids @5kids1condo @theoverheadwire @MassTransitmag @APTA_Transit Live… https://t.co/FpWYE9kHqt,@APTA_Transit
0.0,Wed Apr 11 15:14:28 +0000 2018,0.0,1.0,0.0,9,"@BrentToderian @TransLink @grescoe @FreeRangeKids @5kids1condo @theoverheadwire @MassTransitmag @APTA_Transit Mazeltov, Brent!!!",@APTA_Transit
0.772,Wed Apr 11 14:37:05 +0000 2018,0.0,0.688,0.312,10,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,@APTA_Transit
-0.128,Wed Apr 11 14:03:07 +0000 2018,0.092,0.837,0.072,11,"RT @canuck_issues: Every day, there is a significant delay. Every week there is a major shut down. When will our mayor @JohnTory and our pr…",@APTA_Transit
0.772,Wed Apr 11 13:57:07 +0000 2018,0.0,0.688,0.312,12,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,@APTA_Transit
0.772,Wed Apr 11 13:01:43 +0000 2018,0.0,0.688,0.312,13,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,@APTA_Transit
-0.128,Wed Apr 11 11:52:07 +0000 2018,0.092,0.837,0.072,14,"RT @canuck_issues: Every day, there is a significant delay. Every week there is a major shut down. When will our mayor @JohnTory and our pr…",@APTA_Transit
0.0,Wed Apr 11 11:52:06 +0000 2018,0.0,1.0,0.0,15,@TTChelps @canuck_issues @APTA_Transit @JohnTory @TorontoComms @TorontoStar @CTVToronto @torontolife Too late. I'm… https://t.co/63oKE1JDOI,@APTA_Transit
0.772,Wed Apr 11 11:49:59 +0000 2018,0.0,0.688,0.312,16,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,@APTA_Transit
0.103,Wed Apr 11 11:47:17 +0000 2018,0.0,0.865,0.135,17,@canuck_issues @APTA_Transit @JohnTory @TorontoComms @TorontoStar @CTVToronto @torontolife It's cleared. ^KM,@APTA_Transit
