,User,Date,Tweet text,Compound,Positive,Neutral,Negative,Tweet Count
0,@APTA_Transit,Mon Apr 16 21:11:54 +0000 2018,"RT @ASCEKristina: On the road again... DC Tues for @ACEC_National awards, Las Cruces Wed/Thur for NM transpo conf (&amp; green chile 😋), Fort W…",0.459,0.115,0.885,0.0,0
1,@APTA_Transit,Mon Apr 16 17:05:41 +0000 2018,"RT @ASCEKristina: On the road again... DC Tues for @ACEC_National awards, Las Cruces Wed/Thur for NM transpo conf (&amp; green chile 😋), Fort W…",0.459,0.115,0.885,0.0,1
2,@APTA_Transit,Mon Apr 16 16:01:11 +0000 2018,"RT @ASCEKristina: On the road again... DC Tues for @ACEC_National awards, Las Cruces Wed/Thur for NM transpo conf (&amp; green chile 😋), Fort W…",0.459,0.115,0.885,0.0,2
3,@APTA_Transit,Mon Apr 16 15:49:11 +0000 2018,"RT @ASCEKristina: On the road again... DC Tues for @ACEC_National awards, Las Cruces Wed/Thur for NM transpo conf (&amp; green chile 😋), Fort W…",0.459,0.115,0.885,0.0,3
4,@APTA_Transit,Mon Apr 16 15:47:25 +0000 2018,"On the road again... DC Tues for @ACEC_National awards, Las Cruces Wed/Thur for NM transpo conf (&amp; green chile 😋),… https://t.co/tIKublM19D",0.459,0.13,0.87,0.0,4
5,@APTA_Transit,Mon Apr 16 13:01:42 +0000 2018,#MondayMotivation Communities that invest in public transit reduce US carbon emissions by 37mil metric tons yearly.… https://t.co/4MvPVPHmrZ,0.0,0.0,1.0,0.0,5
6,@APTA_Transit,Sun Apr 15 17:14:28 +0000 2018,"RT @TheRapid: Transit-oriented development strengthens communities: https://t.co/0haDJnxXsR #Voices4Transit
@APTA_Transit https://t.co/pFzL…",0.459,0.25,0.75,0.0,6
7,@APTA_Transit,Sun Apr 15 15:40:54 +0000 2018,"RT @APTA_Transit: From coast to coast, public transportation is connecting communities and riders each and every day. RT our post and tell…",0.0,0.0,1.0,0.0,7
8,@APTA_Transit,Sun Apr 15 13:54:09 +0000 2018,RT @ridetarc: Boom! 🥇Tampa here we come...@APTA_Transit https://t.co/GqjX4L7c5o,0.0,0.0,1.0,0.0,8
9,@APTA_Transit,Sun Apr 15 13:46:01 +0000 2018,Boom! 🥇Tampa here we come...@APTA_Transit https://t.co/GqjX4L7c5o,0.0,0.0,1.0,0.0,9
10,@APTA_Transit,Sat Apr 14 22:37:40 +0000 2018,RT @APTA_Transit: Congratulations to @RideKCTransit on their newly awarded grant for Bus Rapid Transit! https://t.co/BVuWJFGAMv,0.855,0.439,0.561,0.0,10
