year,month,day,time_bin,city,time_pdt,temp_F,humidity_perc,Visibility_mi,wind_dir,wind_mph,precipitation_in,events,conditions
2018,4,10,4/10/18,sf,12:56 AM,64,43%,10,W,15,,,Overcast
2018,4,10,4/10/18,sf,1:56 AM,60.1,55%,10,W,18.4,,,Mostly Cloudy
2018,4,10,4/10/18,sf,2:56 AM,57.9,72%,10,NW,4.6,,,Mostly Cloudy
2018,4,10,4/10/18,sf,3:56 AM,59,67%,10,N,3.5,,,Mostly Cloudy
2018,4,10,4/10/18,sf,4:56 AM,57.9,72%,10,NNW,4.6,,,Mostly Cloudy
2018,4,10,4/10/18,sf,5:56 AM,57.9,60%,10,W,4.6,,,Scattered Clouds
2018,4,10,4/10/18,sf,6:56 AM,57,57%,10,S,4.6,,,Mostly Cloudy
2018,4,10,4/10/18,sf,7:44 AM,57,64%,10,WNW,5.8,,,Mostly Cloudy
2018,4,10,4/10/18,sf,7:56 AM,57.9,65%,10,WNW,6.9,,,Mostly Cloudy
2018,4,10,4/10/18,sf,8:56 AM,59,72%,10,NW,4.6,,,Mostly Cloudy
2018,4,10,4/10/18,sf,9:56 AM,62.1,58%,10,NW,9.2,,,Overcast
2018,4,10,4/10/18,sf,10:56 AM,63,63%,10,WNW,8.1,,,Overcast
2018,4,10,4/10/18,sf,11:18 AM,63,65%,10,WNW,10.4,,,Overcast
2018,4,10,4/10/18,sf,11:56 AM,63,67%,10,WNW,6.9,,,Overcast
2018,4,10,4/10/18,sf,12:56 PM,64,70%,10,NW,10.4,,,Overcast
2018,4,10,4/10/18,sf,1:56 PM,64.9,70%,10,WNW,16.1,,,Overcast
2018,4,10,4/10/18,sf,2:56 PM,61,78%,10,W,12.7,,,Overcast
2018,4,10,4/10/18,sf,3:56 PM,61,78%,10,W,16.1,,,Overcast
2018,4,10,4/10/18,sf,4:22 PM,61,78%,10,W,19.6,0,,Overcast
2018,4,10,4/10/18,sf,4:56 PM,59,87%,4,W,17.3,0,,Overcast
2018,4,10,4/10/18,sf,5:42 PM,60.1,78%,10,W,16.1,,,Overcast
2018,4,10,4/10/18,sf,5:56 PM,60.1,75%,10,W,16.1,,,Mostly Cloudy
2018,4,10,4/10/18,sf,6:25 PM,57,81%,10,W,16.1,,,Overcast
2018,4,10,4/10/18,sf,6:43 PM,57,83%,10,WNW,18.4,,,Overcast
2018,4,10,4/10/18,sf,6:56 PM,57,83%,10,WNW,18.4,,,Mostly Cloudy
2018,4,10,4/10/18,sf,7:25 PM,57,77%,10,W,16.1,,,Mostly Cloudy
2018,4,10,4/10/18,sf,7:56 PM,55.9,77%,10,W,17.3,,,Scattered Clouds
2018,4,10,4/10/18,sf,10:56 PM,55,77%,10,W,15,,,Partly Cloudy
2018,4,10,4/10/18,sf,11:56 PM,54,80%,10,W,15,,,Partly Cloudy
